Date,AAPL,MSFT,AMZN,NVDA,TSLA,BRK-B,GOOG,XOM,UNH,JPM,JNJ,META,V,PG,HD,MA,CVX,ABBV,MRK,LLY,AVGO,BAC,PEP,KO,PFE,COST,TMO,WMT,CSCO,MCD
1/4/2022,156.700745,274.823853,124.281502,185.328293,290.253326,322.829987,114.966499,82.273094,503.605377,115.547966,175.705048,200.470001,211.459869,156.524506,294.796204,361.151276,151.471329,141.493988,86.692154,288.460999,540.747742,35.038609,168.335556,63.233788,47.452232,528.067383,552.009827,151.204895,47.39056,243.650833
1/5/2022,147.943787,269.22876,120.209503,186.577347,252.753326,315.980011,114.039001,92.647713,491.949799,128.955765,174.799561,193.639999,210.507385,144.981033,297.102386,356.168671,168.864395,143.172592,89.956909,309.503296,565.854309,36.531288,164.453384,62.029987,51.291348,463.77063,566.635681,127.129128,43.886585,246.633408
1/6/2022,136.096451,254.927261,106.209999,151.474182,224.473328,273.019989,109.372498,83.496071,508.635986,109.821594,173.94339,161.25,195.720215,140.971207,269.153595,313.980225,141.127396,148.797684,89.11628,321.236694,473.855316,30.570398,163.384796,61.569996,51.114925,476.762024,542.385681,120.59816,41.538826,241.421249
1/7/2022,161.768814,278.660126,134.949997,181.529602,297.149994,300.600006,116.639999,94.503441,538.982117,112.503494,171.013474,159.100006,210.849808,136.18689,297.191254,352.108093,159.648056,139.422546,88.042198,326.64624,526.633118,33.393459,172.714706,63.256905,49.243084,538.456238,597.775269,130.983612,44.198322,258.973999
1/8/2022,156.502945,259.532898,126.769997,150.856567,275.609985,280.799988,109.150002,93.196991,516.114563,111.894966,158.098282,162.929993,197.529419,136.113831,284.827209,323.322754,154.072388,131.852203,84.120026,298.449005,490.864014,33.195927,170.059219,60.831909,44.437679,520.25354,544.741577,131.479568,43.957218,248.069107
1/9/2022,137.760773,231.665237,113,121.322899,265.25,267.019989,96.150002,85.951355,501.913055,102.813889,161.153259,135.679993,176.907303,124.57859,274.28067,283.421997,141.317902,131.607056,84.86898,321.410645,436.674347,29.827936,161.164825,55.222874,42.993427,470.599762,506.652039,129.212891,39.317726,228.130585
1/10/2022,152.852661,230.899323,102.440002,134.935486,227.539993,295.089996,94.660004,109.08567,553.44397,123.848915,171.619949,93.160004,206.293945,132.887115,294.349274,327.120453,177.938385,143.560623,100.533905,359.918304,466.229889,35.830521,180.454361,59.42852,45.734554,499.726379,513.700134,141.795456,44.655109,269.576508
1/11/2022,147.559555,253.787323,96.540001,169.186707,194.699997,318.600006,101.449997,109.60743,546.07666,137.166794,175.595505,118.099998,216.092804,148.229858,322.041718,355.82251,180.308914,159.662231,109.395203,368.85437,546.470398,37.629997,184.360001,63.162045,49.251842,538.312927,559.925842,151.847565,49.32589,269.705048
1/12/2022,129.731918,239.220825,84,146.139999,123.18,308.899994,88.730003,109.457741,528.550659,133.11673,175.388519,120.339996,207.353867,150.614883,315.859985,347.166565,177.917175,160.088181,110.219734,364.660187,554.503357,32.92749,179.54007,63.610001,50.773872,455.706696,550.400879,141.257477,47.262379,262.017181
1/1/2023,144.070023,247.190857,103.129997,195.369995,173.220001,311.519989,99.870003,115.124138,499.190002,138.933762,162.253006,148.970001,229.759995,141.492142,324.170013,369.999512,172.495102,146.358704,107.410004,343.040131,585.01001,35.48,171.020004,61.32,43.758278,510.25177,570.330017,143.869995,48.28421,265.86496
1/2/2023,147.185272,248.796829,94.230003,232.160004,205.710007,305.179993,90.300003,109.070717,475.940002,143.350006,152.165558,174.940002,219.510071,137.559998,296.540009,355.290009,159.361206,153.899994,106.239998,310.216339,594.289978,34.299999,173.529999,59.509998,40.57,483.338593,541.76001,142.130005,48.419998,262.394989
